feature,mean_absolute_shap,mean_signed_shap
tenure,1.022941,-0.104327
InternetService,0.593319,-0.028382
MonthlyCharges,0.588502,0.012705
Contract,0.538909,-0.089938
TotalCharges,0.404246,0.032795
StreamingMovies,0.23646,-0.002133
StreamingTV,0.226457,-0.005458
OnlineSecurity,0.191043,-0.020108
PaymentMethod,0.173092,-0.006795
TechSupport,0.164476,-0.020236
MultipleLines,0.160224,0.005108
PaperlessBilling,0.156622,-0.031499
OnlineBackup,0.101314,-0.012598
DeviceProtection,0.100468,-0.010263
Dependents,0.093251,-0.0076
SeniorCitizen,0.050554,-0.012582
gender,0.015765,0.00072
Partner,0.009147,0.000539
PhoneService,0.005072,0.000768
